case,z0,zd,Kp_base,Ki_base,Kd_base,OS_base,Tr_base,Ts_base,ITAE_base,Kp_ml,Ki_ml,Kd_ml,OS_ml,Tr_ml,Ts_ml,ITAE_ml
1,0.1,1.75,56.8136,7.3365,31.7435,1.79974764542503,1.1833883314358,1.9360741607811,1.1864298259785,49.9093757897375,10.6029237932985,15.242454438048,1.2306879527099,0.664898728171466,1.16156843220374,0.51808879961513
2,0.75,3.5,56.8136,7.3365,31.7435,2.91188061824676,1.11627573273796,6.84963598902305,3.0901306266772,74.2555005888386,4.88638444007671,24.4518886295477,0.0151271275994347,0.512571384500591,0.784177066715933,0.272421827459173
3,0,2,56.8136,7.3365,31.7435,2.62535365060919,1.15879160242457,6.21012101519486,1.76124891855081,52.009598060232,8.1863801224227,14.1013862458563,0.766735373669891,0.413758612788715,0.642435502435503,0.142476125881189
4,-0,4.75,56.8136,7.3365,31.7435,5.13606952359697,1.02717469666351,8,6.90020069338575,92.8794383277481,1.57223464938884,39.8650462941729,0,0.65783532786789,1.05500826720727,1.17110251357975
